bus_id,route_no,direction,stop_name,timepoint,arrival_time,departure_time,boarded,alighted,occupancy_after,dwell_time_s,headway_s,is_peak
144G_1028_R1,144,inbound,Punchi Borella,1,2025-10-28 10:11:52,2025-10-28 10:12:22,3,6,38,30,404,0
171D_1030_R1,171,outbound,Punchi Borella,0,2025-10-30 19:06:49,2025-10-30 19:07:51,17,1,73,62,343,0
171B_1026_R2,171,outbound,Koswatta,1,2025-10-26 13:02:27,2025-10-26 13:02:57,4,3,72,30,570,0
144G_1029_R2,144,outbound,Punchi Borella,0,2025-10-29 19:29:37,2025-10-29 19:30:43,15,5,29,66,596,0
103E_1031_R2,103,inbound,Borella,0,2025-10-31 07:42:32,2025-10-31 07:43:41,15,4,34,69,416,1
103I_1026_R2,103,outbound,Pettah,0,2025-10-26 08:34:58,2025-10-26 08:35:58,16,4,52,60,433,1
103C_1025_R2,103,outbound,Fort,1,2025-10-25 17:24:00,2025-10-25 17:25:17,21,4,31,77,399,1
103B_1025_R2,103,inbound,Maradana,1,2025-10-25 08:03:20,2025-10-25 08:04:41,20,6,53,81,593,1
171B_1026_R2,171,inbound,Technical Junction,0,2025-10-26 17:12:13,2025-10-26 17:13:41,11,13,87,88,467,1
171E_1025_R1,171,outbound,Battaramulla,0,2025-10-25 10:55:26,2025-10-25 10:56:07,6,6,44,41,700,0
144A_1028_R1,144,outbound,Fort,1,2025-10-28 17:47:00,2025-10-28 17:47:41,11,1,11,41,556,1
171D_1027_R1,171,outbound,Punchi Borella,0,2025-10-27 07:31:50,2025-10-27 07:32:42,13,1,58,52,519,1
171J_1031_R2,171,outbound,Fort,1,2025-10-31 16:26:00,2025-10-31 16:27:16,16,5,22,76,270,1
171B_1028_R1,171,outbound,Technical Junction,0,2025-10-28 07:39:26,2025-10-28 07:40:58,23,6,33,92,492,1
171F_1025_R1,171,outbound,Koswatta,1,2025-10-25 19:03:44,2025-10-25 19:04:36,7,7,62,52,569,0
171B_1031_R2,171,inbound,Pettah,0,2025-10-31 08:37:45,2025-10-31 08:38:36,6,6,60,51,376,1
