bus_id,route_no,direction,stop_name,timepoint,arrival_time,departure_time,boarded,alighted,occupancy_after,dwell_time_s,headway_s,is_peak
144H_1029_R1,144,outbound,Punchi Borella,0,2025-10-29 16:22:20,2025-10-29 16:23:26,17,4,71,66,369,1
103H_1025_R2,103,inbound,Punchi Borella,0,2025-10-25 09:14:31,2025-10-25 09:15:27,17,0,60,56,442,0
171E_1027_R1,171,inbound,Fort,1,2025-10-27 08:01:39,2025-10-27 08:02:56,17,8,71,77,532,1
171G_1031_R2,171,inbound,Rajagiriya,0,2025-10-31 17:11:39,2025-10-31 17:12:52,20,3,57,73,586,1
144E_1031_R1,144,outbound,Borella,1,2025-10-31 06:24:23,2025-10-31 06:25:08,7,4,42,45,387,0
171G_1031_R1,171,outbound,Pettah,0,2025-10-31 12:08:36,2025-10-31 12:09:32,15,4,18,56,537,0
171D_1029_R2,171,outbound,Battaramulla,0,2025-10-29 19:54:01,2025-10-29 19:55:03,8,10,33,62,530,0
171J_1031_R2,171,outbound,Technical Junction,0,2025-10-31 16:36:07,2025-10-31 16:36:42,0,6,26,35,270,1
171B_1028_R1,171,outbound,Punchi Borella,0,2025-10-28 07:49:22,2025-10-28 07:50:43,20,5,56,81,492,1
171C_1031_R1,171,inbound,Borella,1,2025-10-31 17:47:41,2025-10-31 17:49:07,8,13,71,86,315,1
103I_1029_R1,103,outbound,Maradana,0,2025-10-29 15:07:42,2025-10-29 15:08:25,11,6,45,43,425,0
144B_1025_R1,144,inbound,Borella,0,2025-10-25 16:53:28,2025-10-25 16:54:41,20,4,55,73,509,1
103H_1026_R2,103,outbound,Borella,0,2025-10-26 08:21:04,2025-10-26 08:22:04,10,8,42,60,478,1
171E_1028_R1,171,outbound,Fort,1,2025-10-28 09:27:00,2025-10-28 09:27:50,10,4,11,50,456,0
103I_1029_R1,103,outbound,Narahenpita,1,2025-10-29 15:20:49,2025-10-29 15:21:30,9,3,55,41,425,0
103F_1027_R2,103,outbound,Maradana,0,2025-10-27 08:09:40,2025-10-27 08:10:58,24,2,73,78,575,1
103I_1030_R2,103,inbound,Maradana,1,2025-10-30 10:06:52,2025-10-30 10:07:52,13,5,46,60,539,0
171D_1026_R1,171,outbound,Technical Junction,0,2025-10-26 17:57:57,2025-10-26 17:59:02,17,2,57,65,529,1
144C_1026_R2,144,inbound,Rajagiriya,1,2025-10-26 09:55:00,2025-10-26 09:55:58,14,5,27,58,591,0
103G_1026_R1,103,outbound,Borella,0,2025-10-26 17:48:43,2025-10-26 17:49:35,8,6,87,52,559,1
171H_1026_R1,171,inbound,Koswatta,1,2025-10-26 10:33:00,2025-10-26 10:33:50,8,4,18,50,588,0
171F_1026_R1,171,inbound,Fort,1,2025-10-26 18:09:11,2025-10-26 18:10:16,15,8,107,65,256,1
